diag;n
  G32 - Other degenerative disorders of nervous system in diseases classified elsewhere;32     (0.00)
  H05 - Disorders of orbit;32     (0.00)
  H74 - Other disorders of middle ear and mastoid;32     (0.00)
  K46 - Unspecified abdominal hernia;32     (0.00)
  T36 - Poisoning by systemic antibiotics;32     (0.00)
  Y65 - Other misadventures during surgical and medical care;32     (0.00)
  C62 - Malignant neoplasm of testis;31     (0.00)
  D76 - Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue;31     (0.00)
  E26 - Hyperaldosteronism;31     (0.00)
  E60 - Dietary zinc deficiency;31     (0.00)
  K38 - Other diseases of appendix;31     (0.00)
  Q39 - Congenital malformations of oesophagus;31     (0.00)
  Q85 - Phakomatoses, not elsewhere classified;31     (0.00)
  T13 - Other injuries of lower limb, level unspecified;31     (0.00)
  T31 - Burns classified according to extent of body surface involved;31     (0.00)
  V18 - Pedal cyclist injured in noncollision transport accident;31     (0.00)
  V49 - Car occupant injured in other and unspecified transport accidents;31     (0.00)
  C40 - Malignant neoplasm of bone and articular cartilage of limbs;30     (0.00)
  E58 - Dietary calcium deficiency;30     (0.00)
  H55 - Nystagmus and other irregular eye movements;30     (0.00)
  M30 - Polyarteritis nodosa and related conditions;30     (0.00)
  M82 - Osteoporosis in diseases classified elsewhere;30     (0.00)
  O14 - Gestational [pregnancy-induced] hypertension with significant proteinuria;30     (0.00)
  O48 - Prolonged pregnancy;30     (0.00)
  Q60 - Renal agenesis and other reduction defects of kidney;30     (0.00)
  Q89 - Other congenital malformations, not elsewhere classified;30     (0.00)
  T24 - Burn and corrosion of hip and lower limb, except ankle and foot;30     (0.00)
  C26 - Malignant neoplasm of other and ill-defined digestive organs;29     (0.00)
  F73 - Profound mental retardation;29     (0.00)
  G06 - Intracranial and intraspinal abscess and granuloma;29     (0.00)
  L92 - Granulomatous disorders of skin and subcutaneous tissue;29     (0.00)
  L99 - Other disorders of skin and subcutaneous tissue in diseases classified elsewhere;29     (0.00)
  O30 - Multiple gestation;29     (0.00)
  R72 - Abnormality of white blood cells, not elsewhere classified;29     (0.00)
  V29 - Motorcycle rider injured in other and unspecified transport accidents;29     (0.00)
  C31 - Malignant neoplasm of accessory sinuses;28     (0.00)
  D03 - Melanoma in situ;28     (0.00)
  H19 - Disorders of sclera and cornea in diseases classified elsewhere;28     (0.00)
  H30 - Chorioretinal inflammation;28     (0.00)
  J37 - Chronic laryngitis and laryngotracheitis;28     (0.00)
  O73 - Retained placenta and membranes, without haemorrhage;28     (0.00)
  X70 - Intentional self-harm by hanging, strangulation and suffocation;28     (0.00)
  H59 - Postprocedural disorders of eye and adnexa, not elsewhere classified;27     (0.00)
  H66 - Suppurative and unspecified otitis media;27     (0.00)
  K36 - Other appendicitis;27     (0.00)
  K77 - Liver disorders in diseases classified elsewhere;27     (0.00)
  K93 - Disorders of other digestive organs in diseases classified elsewhere;27     (0.00)
  O13 - Gestational [pregnancy-induced] hypertension without significant proteinuria;27     (0.00)
  B22 - Human immunodeficiency virus [HIV] disease resulting in other specified diseases;26     (0.00)
  C57 - Malignant neoplasm of other and unspecified female genital organs;26     (0.00)
  E72 - Other disorders of amino-acid metabolism;26     (0.00)
  G13 - Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere;26     (0.00)
  I88 - Nonspecific lymphadenitis;26     (0.00)
  O10 - Pre-existing hypertension complicating pregnancy, childbirth and the puerperium;26     (0.00)
  Q82 - Other congenital malformations of skin;26     (0.00)
  S71 - Open wound of hip and thigh;26     (0.00)
  A87 - Viral meningitis;25     (0.00)
  B16 - Acute hepatitis B;25     (0.00)
  B59 - Pneumocystosis;25     (0.00)
  C30 - Malignant neoplasm of nasal cavity and middle ear;25     (0.00)
  C94 - Other leukaemias of specified cell type;25     (0.00)
  G05 - Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere;25     (0.00)
  G10 - Huntington disease;25     (0.00)
  H21 - Other disorders of iris and ciliary body;25     (0.00)
  M01 - Direct infections of joint in infectious and parasitic diseases classified elsewhere;25     (0.00)
  Q65 - Congenital deformities of hip;25     (0.00)
  S75 - Injury of blood vessels at hip and thigh level;25     (0.00)
  T98 - Sequelae of other and unspecified effects of external causes;25     (0.00)
  Z55 - Problems related to education and literacy;25     (0.00)
  C74 - Malignant neoplasm of adrenal gland;24     (0.00)
  J21 - Acute bronchiolitis;24     (0.00)
  S29 - Other and unspecified injuries of thorax;24     (0.00)
  S98 - Traumatic amputation of ankle and foot;24     (0.00)
  T74 - Maltreatment syndromes;24     (0.00)
  W26 - Contact with knife, sword or dagger;24     (0.00)
  Z23 - Need for immunization against single bacterial diseases;24     (0.00)
  B94 - Sequelae of other and unspecified infectious and parasitic diseases;23     (0.00)
  C03 - Malignant neoplasm of gum;23     (0.00)
  D28 - Benign neoplasm of other and unspecified female genital organs;23     (0.00)
  G22 - Parkinsonism in diseases classified elsewhere;23     (0.00)
  I39 - Endocarditis and heart valve disorders in diseases classified elsewhere;23     (0.00)
  K14 - Diseases of tongue;23     (0.00)
  L04 - Acute lymphadenitis;23     (0.00)
  L58 - Radiodermatitis;23     (0.00)
  O64 - Obstructed labour due to malposition and malpresentation of fetus;23     (0.00)
  R43 - Disturbances of smell and taste;23     (0.00)
  T44 - Poisoning by drugs primarily affecting the autonomic nervous system;23     (0.00)
  X69 - Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances;23     (0.00)
  A28 - Other zoonotic bacterial diseases, not elsewhere classified;22     (0.00)
  L88 - Pyoderma gangrenosum;22     (0.00)
  O90 - Complications of the puerperium, not elsewhere classified;22     (0.00)
  S21 - Open wound of thorax;22     (0.00)
  T75 - Effects of other external causes;22     (0.00)
  W13 - Fall from, out of or through building or structure;22     (0.00)
  X62 - Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified;22     (0.00)
  C68 - Malignant neoplasm of other and unspecified urinary organs;21     (0.00)
  D15 - Benign neoplasm of other and unspecified intrathoracic organs;21     (0.00)
  E68 - Sequelae of hyperalimentation;21     (0.00)
  E84 - Cystic fibrosis;21     (0.00)
  F04 - Organic amnesic syndrome, not induced by alcohol and other psychoactive substances;21     (0.00)
  F09 - Unspecified organic or symptomatic mental disorder;21     (0.00)
  G94 - Other disorders of brain in diseases classified elsewhere;21     (0.00)
  N63 - Unspecified lump in breast;21     (0.00)
  Q44 - Congenital malformations of gallbladder, bile ducts and liver;21     (0.00)
  R96 - Other sudden death, cause unknown;21     (0.00)
  R99 - Other ill-defined and unspecified causes of mortality;21     (0.00)
  S15 - Injury of blood vessels at neck level;21     (0.00)
  S55 - Injury of blood vessels at forearm level;21     (0.00)
  T23 - Burn and corrosion of wrist and hand;21     (0.00)
  U90;21     (0.00)
  V19 - Pedal cyclist injured in other and unspecified transport accidents;21     (0.00)
  W55 - Bitten or struck by other mammals;21     (0.00)
  X59 - Exposure to unspecified factor;21     (0.00)
  A60 - Anogenital herpesviral [herpes simplex] infection;20     (0.00)
  B21 - Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms;20     (0.00)
  C00 - Malignant neoplasm of lip;20     (0.00)
  D31 - Benign neoplasm of eye and adnexa;20     (0.00)
  J67 - Hypersensitivity pneumonitis due to organic dust;20     (0.00)
  L25 - Unspecified contact dermatitis;20     (0.00)
  N05 - Unspecified nephritic syndrome;20     (0.00)
  N71 - Inflammatory disease of uterus, except cervix;20     (0.00)
  O66 - Other obstructed labour;20     (0.00)
  O84 - Multiple delivery;20     (0.00)
  Q87 - Other specified congenital malformation syndromes affecting multiple systems;20     (0.00)
  T20 - Burn and corrosion of head and neck;20     (0.00)
  V48 - Car occupant injured in noncollision transport accident;20     (0.00)
  W02 - Fall involving ice-skates, skis, roller-skates or skateboards;20     (0.00)
  X41 - Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified;20     (0.00)
  Z62 - Other problems related to upbringing;20     (0.00)
  A31 - Infection due to other mycobacteria;19     (0.00)
  C46 - Kaposi sarcoma;19     (0.00)
  F59 - Unspecified behavioural syndromes associated with physiological disturbances and physical factors;19     (0.00)
  G08 - Intracranial and intraspinal phlebitis and thrombophlebitis;19     (0.00)
  M83 - Adult osteomalacia;19     (0.00)
  N34 - Urethritis and urethral syndrome;19     (0.00)
  S04 - Injury of cranial nerves;19     (0.00)
  T01 - Open wounds involving multiple body regions;19     (0.00)
  T22 - Burn and corrosion of shoulder and upper limb, except wrist and hand;19     (0.00)
  U84 - Resistance to other antimicrobial drugs;19     (0.00)
  V03 - Pedestrian injured in collision with car, pick-up truck or van;19     (0.00)
  V28 - Motorcycle rider injured in noncollision transport accident;19     (0.00)
  Y53 - Agents primarily affecting the gastrointestinal system;19     (0.00)
  B85 - Pediculosis and phthiriasis;18     (0.00)
  D66 - Hereditary factor VIII deficiency;18     (0.00)
  D83 - Common variable immunodeficiency;18     (0.00)
  F54 - Psychological and behavioural factors associated with disorders or diseases classified elsewhere;18     (0.00)
  G02 - Meningitis in other infectious and parasitic diseases classified elsewhere;18     (0.00)
  G64 - Other disorders of peripheral nervous system;18     (0.00)
  I28 - Other diseases of pulmonary vessels;18     (0.00)
  O61 - Failed induction of labour;18     (0.00)
  O86 - Other puerperal infections;18     (0.00)
  Q79 - Congenital malformations of the musculoskeletal system, not elsewhere classified;18     (0.00)
  S26 - Injury of heart;18     (0.00)
  S54 - Injury of nerves at forearm level;18     (0.00)
  S89 - Other and unspecified injuries of lower leg;18     (0.00)
  T59 - Toxic effect of other gases, fumes and vapours;18     (0.00)
  V43 - Car occupant injured in collision with car, pick-up truck or van;18     (0.00)
  V47 - Car occupant injured in collision with fixed or stationary object;18     (0.00)
  X80 - Intentional self-harm by jumping from a high place;18     (0.00)
  Y48 - Anaesthetics and therapeutic gases;18     (0.00)
  B80 - Enterobiasis;17     (0.00)
  E20 - Hypoparathyroidism;17     (0.00)
  E74 - Other disorders of carbohydrate metabolism;17     (0.00)
  F21 - Schizotypal disorder;17     (0.00)
  F52 - Sexual dysfunction, not caused by organic disorder or disease;17     (0.00)
  F63 - Habit and impulse disorders;17     (0.00)
  L43 - Lichen planus;17     (0.00)
  O98 - Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium;17     (0.00)
  R71 - Abnormality of red blood cells;17     (0.00)
  R85 - Abnormal findings in specimens from digestive organs and abdominal cavity;17     (0.00)
  S03 - Dislocation, sprain and strain of joints and ligaments of head;17     (0.00)
  S11 - Open wound of neck;17     (0.00)
  S79 - Other and specified injuries of hip and thigh;17     (0.00)
  T71 - Asphyxiation;17     (0.00)
  Y11 - Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent;17     (0.00)
  Z25 - Need for immunization against other single viral diseases;17     (0.00)
  C72 - Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system;16     (0.00)
  C75 - Malignant neoplasm of other endocrine glands and related structures;16     (0.00)
  E28 - Ovarian dysfunction;16     (0.00)
  G73 - Disorders of myoneural junction and muscle in diseases classified elsewhere;16     (0.00)
  H82 - Vertiginous syndromes in diseases classified elsewhere;16     (0.00)
  K37 - Unspecified appendicitis;16     (0.00)
  L81 - Other disorders of pigmentation;16     (0.00)
  M61 - Calcification and ossification of muscle;16     (0.00)
  N27 - Small kidney of unknown cause;16     (0.00)
  Q63 - Other congenital malformations of kidney;16     (0.00)
  R92 - Abnormal findings on diagnostic imaging of breast;16     (0.00)
  S34 - Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level;16     (0.00)
  S49 - Other and unspecified injuries of shoulder and upper arm;16     (0.00)
  T19 - Foreign body in genitourinary tract;16     (0.00)
  U89 - Agent resistant to other and unspecified antibiotics;16     (0.00)
  Z36 - Antenatal screening;16     (0.00)
  A05 - Other bacterial foodborne intoxications, not elsewhere classified;15     (0.00)
  A26 - Erysipeloid;15     (0.00)
  C37 - Malignant neoplasm of thymus;15     (0.00)
  C86 - Other specified types of T/NK-cell lymphoma;15     (0.00)
  E01 - Iodine-deficiency-related thyroid disorders and allied conditions;15     (0.00)
  G09 - Sequelae of inflammatory diseases of central nervous system;15     (0.00)
  H48 - Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere;15     (0.00)
  H70 - Mastoiditis and related conditions;15     (0.00)
  L10 - Pemphigus;15     (0.00)
  L80 - Vitiligo;15     (0.00)
  Q05 - Spina bifida;15     (0.00)
  Q25 - Congenital malformations of great arteries;15     (0.00)
  S24 - Injury of nerves and spinal cord at thorax level;15     (0.00)
  S44 - Injury of nerves at shoulder and upper arm level;15     (0.00)
  S99 - Other and unspecified injuries of ankle and foot;15     (0.00)
  T02 - Fractures involving multiple body regions;15     (0.00)
  W05 - Fall involving wheelchair;15     (0.00)
  W54 - Bitten or struck by dog;15     (0.00)
  W78 - Inhalation of gastric contents;15     (0.00)
  Z11 - Special screening examination for infectious and parasitic diseases;15     (0.00)
  A06 - Amoebiasis;14     (0.00)
  A18 - Tuberculosis of other organs;14     (0.00)
  B15 - Acute hepatitis A;14     (0.00)
  E50 - Vitamin A deficiency;14     (0.00)
  E59 - Dietary selenium deficiency;14     (0.00)
  G26 - Extrapyramidal and movement disorders in diseases classified elsewhere;14     (0.00)
  G36 - Other acute disseminated demyelination;14     (0.00)
  H06 - Disorders of lacrimal system and orbit in diseases classified elsewhere;14     (0.00)
  H31 - Other disorders of choroid;14     (0.00)
  H83 - Other diseases of inner ear;14     (0.00)
  I32 - Pericarditis in diseases classified elsewhere;14     (0.00)
  I52 - Other heart disorders in diseases classified elsewhere;14     (0.00)
  J22 - Unspecified acute lower respiratory infection;14     (0.00)
  L01 - Impetigo;14     (0.00)
  N26 - Unspecified contracted kidney;14     (0.00)
  Q45 - Other congenital malformations of digestive system;14     (0.00)
  R98 - Unattended death;14     (0.00)
  S19 - Other and unspecified injuries of neck;14     (0.00)
  S88 - Traumatic amputation of lower leg;14     (0.00)
  T11 - Other injuries of upper limb, level unspecified;14     (0.00)
  X23 - Contact with hornets, wasps and bees;14     (0.00)
  D58 - Other hereditary haemolytic anaemias;13     (0.00)
  E02 - Subclinical iodine-deficiency hypothyroidism;13     (0.00)
  H01 - Other inflammation of eyelid;13     (0.00)
  H42 - Glaucoma in diseases classified elsewhere;13     (0.00)
  H95 - Postprocedural disorders of ear and mastoid process, not elsewhere classified;13     (0.00)
  I09 - Other rheumatic heart diseases;13     (0.00)
  K87 - Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere;13     (0.00)
  L52 - Erythema nodosum;13     (0.00)
  N46 - Male infertility;13     (0.00)
  O33 - Maternal care for known or suspected disproportion;13     (0.00)
  Q67 - Congenital musculoskeletal deformities of head, face, spine and chest;13     (0.00)
  Q78 - Other osteochondrodysplasias;13     (0.00)
  T54 - Toxic effect of corrosive substances;13     (0.00)
  V80 - Animal-rider or occupant of animal-drawn vehicle injured in transport accident;13     (0.00)
  X42 - Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified;13     (0.00)
  Y69 - Unspecified misadventure during surgical and medical care;13     (0.00)
  C60 - Malignant neoplasm of penis;12     (0.00)
  E00 - Congenital iodine-deficiency syndrome;12     (0.00)
  F80 - Specific developmental disorders of speech and language;12     (0.00)
  F94 - Disorders of social functioning with onset specific to childhood and adolescence;12     (0.00)
  L59 - Other disorders of skin and subcutaneous tissue related to radiation;12     (0.00)
  L71 - Rosacea;12     (0.00)
  N01 - Rapidly progressive nephritic syndrome;12     (0.00)
  N51 - Disorders of male genital organs in diseases classified elsewhere;12     (0.00)
  O44 - Placenta praevia;12     (0.00)
  Q17 - Other congenital malformations of ear;12     (0.00)
  Q62 - Congenital obstructive defects of renal pelvis and congenital malformations of ureter;12     (0.00)
  T21 - Burn and corrosion of trunk;12     (0.00)
  T62 - Toxic effect of other noxious substances eaten as food;12     (0.00)
  W12 - Fall on and from scaffolding;12     (0.00)
  W23 - Caught, crushed, jammed or pinched in or between objects;12     (0.00)
  W25 - Contact with sharp glass;12     (0.00)
  W31 - Contact with other and unspecified machinery;12     (0.00)
  W45 - Foreign body or object entering through skin;12     (0.00)
  W57 - Bitten or stung by nonvenomous insect and other nonvenomous arthropods;12     (0.00)
  X47 - Accidental poisoning by and exposure to other gases and vapours;12     (0.00)
  A51 - Early syphilis;11     (0.00)
  B08 - Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;11     (0.00)
  B19 - Unspecified viral hepatitis;11     (0.00)
  F15 - Mental and behavioural disorders due to use of other stimulants, including caffeine;11     (0.00)
  F78 - Other mental retardation;11     (0.00)
  H58 - Other disorders of eye and adnexa in diseases classified elsewhere;11     (0.00)
  I41 - Myocarditis in diseases classified elsewhere;11     (0.00)
  J03 - Acute tonsillitis;11     (0.00)
  L51 - Erythema multiforme;11     (0.00)
  L63 - Alopecia areata;11     (0.00)
  M08 - Juvenile arthritis;11     (0.00)
  N00 - Acute nephritic syndrome;11     (0.00)
  N06 - Isolated proteinuria with specified morphological lesion;11     (0.00)
  O20 - Haemorrhage in early pregnancy;11     (0.00)
  O40 - Polyhydramnios;11     (0.00)
  Q27 - Other congenital malformations of peripheral vascular system;11     (0.00)
  Q74 - Other congenital malformations of limb(s);11     (0.00)
  R81 - Glycosuria;11     (0.00)
  S85 - Injury of blood vessels at lower leg level;11     (0.00)
  T07 - Unspecified multiple injuries;11     (0.00)
  V23 - Motorcycle rider injured in collision with car, pick-up truck or van;11     (0.00)
  X63 - Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system;11     (0.00)
  X99 - Assault by sharp object;11     (0.00)
  Z10 - Routine general health check-up of defined subpopulation;11     (0.00)
  A07 - Other protozoal intestinal diseases;10     (0.00)
  B58 - Toxoplasmosis;10     (0.00)
  C52 - Malignant neoplasm of vagina;10     (0.00)
  C96 - Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue;10     (0.00)
  H17 - Corneal scars and opacities;10     (0.00)
  H51 - Other disorders of binocular movement;10     (0.00)
  J06 - Acute upper respiratory infections of multiple and unspecified sites;10     (0.00)
  L68 - Hypertrichosis;10     (0.00)
  M02 - Reactive arthropathies;10     (0.00)
  O00 - Ectopic pregnancy;10     (0.00)
  Q18 - Other congenital malformations of face and neck;10     (0.00)
  Q38 - Other congenital malformations of tongue, mouth and pharynx;10     (0.00)
  Q51 - Congenital malformations of uterus and cervix;10     (0.00)
  Q76 - Congenital malformations of spine and bony thorax;10     (0.00)
  R86 - Abnormal findings in specimens from male genital organs;10     (0.00)
  T06 - Other injuries involving multiple body regions, not elsewhere classified;10     (0.00)
  V09 - Pedestrian injured in other and unspecified transport accidents;10     (0.00)
  V99 - Unspecified transport accident;10     (0.00)
  W22 - Striking against or struck by other objects;10     (0.00)
  A42 - Actinomycosis;9     (0.00)
  B30 - Viral conjunctivitis;9     (0.00)
  B50 - Plasmodium falciparum malaria;9     (0.00)
  D20 - Benign neoplasm of soft tissue of retroperitoneum and peritoneum;9     (0.00)
  F62 - Enduring personality changes, not attributable to brain damage and disease;9     (0.00)
  G98 - Other disorders of nervous system, not elsewhere classified;9     (0.00)
  H73 - Other disorders of tympanic membrane;9     (0.00)
  I99 - Other and unspecified disorders of circulatory system;9     (0.00)
  J68 - Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours;9     (0.00)
  L24 - Irritant contact dermatitis;9     (0.00)
  L70 - Acne;9     (0.00)
  N29 - Other disorders of kidney and ureter in diseases classified elsewhere;9     (0.00)
  O16 - Unspecified maternal hypertension;9     (0.00)
  O21 - Excessive vomiting in pregnancy;9     (0.00)
  O46 - Antepartum haemorrhage, not elsewhere classified;9     (0.00)
  O65 - Obstructed labour due to maternal pelvic abnormality;9     (0.00)
  O71 - Other obstetric trauma;9     (0.00)
  Q64 - Other congenital malformations of urinary system;9     (0.00)
  R84 - Abnormal findings in specimens from respiratory organs and thorax;9     (0.00)
  S25 - Injury of blood vessels of thorax;9     (0.00)
  S33 - Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis;9     (0.00)
  S59 - Other and unspecified injuries of forearm;9     (0.00)
  S78 - Traumatic amputation of hip and thigh;9     (0.00)
  T28 - Burn and corrosion of other internal organs;9     (0.00)
  T73 - Effects of other deprivation;9     (0.00)
  U85 - Resistance to antineoplastic drugs;9     (0.00)
  W20 - Struck by thrown, projected or falling object;9     (0.00)
  W79 - Inhalation and ingestion of food causing obstruction of respiratory tract;9     (0.00)
  Y09 - Assault by unspecified means;9     (0.00)
  Y15 - Poisoning by and exposure to alcohol, undetermined intent;9     (0.00)
  Z70 - Counselling related to sexual attitude, behaviour and orientation;9     (0.00)
  A53 - Other and unspecified syphilis;8     (0.00)
  A80 - Acute poliomyelitis;8     (0.00)
  B01 - Varicella [chickenpox];8     (0.00)
  B27 - Infectious mononucleosis;8     (0.00)
  D55 - Anaemia due to enzyme disorders;8     (0.00)
  D81 - Combined immunodeficiencies;8     (0.00)
  E71 - Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;8     (0.00)
  E90 - Nutritional and metabolic disorders in diseases classified elsewhere;8     (0.00)
  F55 - Abuse of non-dependence-producing substances;8     (0.00)
  I00 - Rheumatic fever without mention of heart involvement;8     (0.00)
  J82 - Pulmonary eosinophilia, not elsewhere classified;8     (0.00)
  L41 - Parapsoriasis;8     (0.00)
  L74 - Eccrine sweat disorders;8     (0.00)
  O12 - Gestational [pregnancy-induced] oedema and proteinuria without hypertension;8     (0.00)
  O43 - Placental disorders;8     (0.00)
  Q50 - Congenital malformations of ovaries, fallopian tubes and broad ligaments;8     (0.00)
  S87 - Crushing injury of lower leg;8     (0.00)
  T08 - Fracture of spine, level unspecified;8     (0.00)
  T15 - Foreign body on external eye;8     (0.00)
  T47 - Poisoning by agents primarily affecting the gastrointestinal system;8     (0.00)
  T49 - Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs;8     (0.00)
  T67 - Effects of heat and light;8     (0.00)
  T95 - Sequelae of burns, corrosions and frostbite;8     (0.00)
  X40 - Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics;8     (0.00)
  Y59 - Other and unspecified vaccines and biological substances;8     (0.00)
  Z27 - Need for immunization against combinations of infectious diseases;8     (0.00)
  A27 - Leptospirosis;7     (0.00)
  B33 - Other viral diseases, not elsewhere classified;7     (0.00)
  C08 - Malignant neoplasm of other and unspecified major salivary glands;7     (0.00)
  C39 - Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs;7     (0.00)
  E34 - Other endocrine disorders;7     (0.00)
  E35 - Disorders of endocrine glands in diseases classified elsewhere;7     (0.00)
  H45 - Disorders of vitreous body and globe in diseases classified elsewhere;7     (0.00)
  H62 - Disorders of external ear in diseases classified elsewhere;7     (0.00)
  K00 - Disorders of tooth development and eruption;7     (0.00)
  L11 - Other acantholytic disorders;7     (0.00)
  L83 - Acanthosis nigricans;7     (0.00)
  O45 - Premature separation of placenta [abruptio placentae];7     (0.00)
  Q15 - Other congenital malformations of eye;7     (0.00)
  Q83 - Congenital malformations of breast;7     (0.00)
  Q98 - Other sex chromosome abnormalities, male phenotype, not elsewhere classified;7     (0.00)
  S45 - Injury of blood vessels at shoulder and upper arm level;7     (0.00)
  S84 - Injury of nerves at lower leg level;7     (0.00)
  T25 - Burn and corrosion of ankle and foot;7     (0.00)
  T29 - Burns and corrosions of multiple body regions;7     (0.00)
  V13 - Pedal cyclist injured in collision with car, pick-up truck or van;7     (0.00)
  W00 - Fall on same level involving ice and snow;7     (0.00)
  W49 - Exposure to other and unspecified inanimate mechanical forces;7     (0.00)
  W90 - Exposure to other nonionizing radiation;7     (0.00)
  X49 - Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances;7     (0.00)
  X71 - Intentional self-harm by drowning and submersion;7     (0.00)
  X83 - Intentional self-harm by other specified means;7     (0.00)
  Y50 - Central nervous system stimulants, not elsewhere classified;7     (0.00)
  Y61 - Foreign object accidentally left in body during surgical and medical care;7     (0.00)
  Z24 - Need for immunization against certain single viral diseases;7     (0.00)
  A19 - Miliary tuberculosis;6     (0.00)
  A32 - Listeriosis;6     (0.00)
  A54 - Gonococcal infection;6     (0.00)
  A81 - Atypical virus infections of central nervous system;6     (0.00)
  A86 - Unspecified viral encephalitis;6     (0.00)
  D71 - Functional disorders of polymorphonuclear neutrophils;6     (0.00)
  E29 - Testicular dysfunction;6     (0.00)
  E40 - Kwashiorkor;6     (0.00)
  F53 - Mental and behavioural disorders associated with the puerperium, not elsewhere classified;6     (0.00)
  F65 - Disorders of sexual preference;6     (0.00)
  F98 - Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence;6     (0.00)
  G59 - Mononeuropathy in diseases classified elsewhere;6     (0.00)
  H15 - Disorders of sclera;6     (0.00)
  H32 - Chorioretinal disorders in diseases classified elsewhere;6     (0.00)
  L56 - Other acute skin changes due to ultraviolet radiation;6     (0.00)
  M63 - Disorders of muscle in diseases classified elsewhere;6     (0.00)
  M92 - Other juvenile osteochondrosis;6     (0.00)
  N91 - Absent, scanty and rare menstruation;6     (0.00)
  Q04 - Other congenital malformations of brain;6     (0.00)
  Q12 - Congenital lens malformations;6     (0.00)
  Q20 - Congenital malformations of cardiac chambers and connections;6     (0.00)
  Q99 - Other chromosome abnormalities, not elsewhere classified;6     (0.00)
  R87 - Abnormal findings in specimens from female genital organs;6     (0.00)
  R89 - Abnormal findings in specimens from other organs, systems and tissues;6     (0.00)
  S08 - Traumatic amputation of part of head;6     (0.00)
  S74 - Injury of nerves at hip and thigh level;6     (0.00)
  T09 - Other injuries of spine and trunk, level unspecified;6     (0.00)
  T70 - Effects of air pressure and water pressure;6     (0.00)
  W08 - Fall involving other furniture;6     (0.00)
  W14 - Fall from tree;6     (0.00)
  W30 - Contact with agricultural machinery;6     (0.00)
  X74 - Intentional self-harm by other and unspecified firearm discharge;6     (0.00)
  Y07 - Other maltreatment;6     (0.00)
  Y28 - Contact with sharp object, undetermined intent;6     (0.00)
  Y55 - Agents primarily acting on smooth and skeletal muscles and the respiratory system;6     (0.00)
  Y71 - Cardiovascular devices associated with adverse incidents;6     (0.00)
  Y98 - Lifestyle-related condition;6     (0.00)
  Z34 - Supervision of normal pregnancy;6     (0.00)
  A39 - Meningococcal infection;5     (0.00)
  A90 - Dengue fever [classical dengue];5     (0.00)
  B78 - Strongyloidiasis;5     (0.00)
  C33 - Malignant neoplasm of trachea;5     (0.00)
  E64 - Sequelae of malnutrition and other nutritional deficiencies;5     (0.00)
  E67 - Other hyperalimentation;5     (0.00)
  E70 - Disorders of aromatic amino-acid metabolism;5     (0.00)
  E73 - Lactose intolerance;5     (0.00)
  F16 - Mental and behavioural disorders due to use of hallucinogens;5     (0.00)
  F82 - Specific developmental disorder of motor function;5     (0.00)
  F83 - Mixed specific developmental disorders;5     (0.00)
  G01 - Meningitis in bacterial diseases classified elsewhere;5     (0.00)
  H13 - Disorders of conjunctiva in diseases classified elsewhere;5     (0.00)
  H22 - Disorders of iris and ciliary body in diseases classified elsewhere;5     (0.00)
  I37 - Pulmonary valve disorders;5     (0.00)
  L65 - Other nonscarring hair loss;5     (0.00)
  M36 - Systemic disorders of connective tissue in diseases classified elsewhere;5     (0.00)
  M42 - Spinal osteochondrosis;5     (0.00)
  M91 - Juvenile osteochondrosis of hip and pelvis;5     (0.00)
  N33 - Bladder disorders in diseases classified elsewhere;5     (0.00)
  N86 - Erosion and ectropion of cervix uteri;5     (0.00)
  O22 - Venous complications in pregnancy;5     (0.00)
  Q07 - Other congenital malformations of nervous system;5     (0.00)
  Q54 - Hypospadias;5     (0.00)
  Q55 - Other congenital malformations of male genital organs;5     (0.00)
  Q68 - Other congenital musculoskeletal deformities;5     (0.00)
